ax,ay,az,gx,gy,gz
-9.0142,-1.6448,0.5411,-0.0925,0.2539,0.118
-8.9016,-1.6233,0.4693,-0.0999,0.1812,0.1215
-8.8873,-1.6855,0.4334,-0.1196,0.049,0.1183
-8.7963,-1.6951,0.5459,-0.1583,-0.121,0.1069
-8.8705,-1.6592,0.4094,-0.1913,-0.2971,0.0858
-8.8442,-1.64,0.4142,-0.2366,-0.4916,0.0648
-8.8729,-1.664,0.4214,-0.291,-0.6765,0.0389
-9.0644,-1.8244,0.6776,-0.3595,-0.8527,0.0144
-9.1004,-1.9082,1.1516,-0.4117,-0.9747,0.0032
-9.3446,-2.0375,1.4174,-0.441,-1.0019,-0.0123
-9.517,-2.1811,1.5778,-0.4727,-0.9739,-0.0309
-9.5744,-2.1476,1.4868,-0.4964,-0.8988,-0.0426
-9.6175,-2.0327,1.3503,-0.4964,-0.7786,-0.0498
-9.5433,-1.8435,0.9744,-0.4874,-0.6472,-0.0557
-9.5098,-1.6257,0.644,-0.4663,-0.4783,-0.048
-9.4834,-1.4916,0.1748,-0.4309,-0.3102,-0.0397
-9.4212,-1.4293,-0.2658,-0.4026,-0.1442,-0.0269
-9.2009,-1.391,-0.4693,-0.3733,-0.008,-0.0133
-9.1435,-1.3144,-0.7781,-0.3411,0.1346,0.0016
-9.1099,-1.3001,-1.1325,-0.3086,0.2401,0.0248
-9.1339,-1.4222,-1.3599,-0.2936,0.3,0.0445
-9.1219,-1.5443,-1.1732,-0.2769,0.3163,0.0655
-8.9759,-1.652,-0.5578,-0.2662,0.3416,0.0887
-9.0309,-1.8675,0.0096,-0.2627,0.4128,0.0997
-9.3757,-2.0853,0.0527,-0.2678,0.485,0.0941
-9.5864,-2.478,0.1006,-0.3254,0.4373,0.069
-9.1626,-2.7007,1.2761,-0.4263,0.3062,0.025
-8.904,-2.6169,2.0973,-0.4876,0.2097,-0.0069
-9.1243,-2.3655,2.6432,-0.526,0.0906,-0.0344
-9.4906,-2.1213,2.7342,-0.5454,0.0069,-0.0602
-9.809,-2.0351,2.3367,-0.546,-0.0336,-0.0895
-9.845,-2.0183,2.083,-0.5473,-0.0416,-0.1215
-9.5672,-1.7909,1.6041,-0.5364,0.0448,-0.1378
-9.3757,-1.585,0.7997,-0.4914,0.1932,-0.1391
-9.2608,-1.5347,0.0072,-0.429,0.3285,-0.133
-9.1602,-1.6927,-0.5459,-0.332,0.4096,-0.1362
-8.8729,-1.6017,-1.0343,-0.2537,0.5002,-0.1559
-9.0525,-1.6448,-1.4676,-0.1868,0.627,-0.1623
-9.0022,-1.7406,-1.6233,-0.1143,0.7011,-0.1263
-8.9328,-1.8004,-1.7597,-0.0759,0.7919,-0.097
-9.1482,-1.9489,-1.9656,-0.0578,0.8402,-0.0791
-9.1339,-2.0016,-1.8052,-0.0501,0.8319,-0.0669
-9.2296,-2.059,-1.4796,-0.0602,0.8284,-0.0504
-9.572,-2.2194,-1.2977,-0.0847,0.801,-0.0389
-9.8114,-2.2673,-1.4102,-0.1276,0.7003,-0.0408
-9.8737,-2.4014,-1.0008,-0.2196,0.5353,-0.0461
-9.8617,-2.3822,-0.4166,-0.304,0.4194,-0.041
-9.6702,-2.1284,0.067,-0.3192,0.3984,-0.0285
-9.8306,-1.9225,0.2634,-0.2878,0.4919,-0.0101
-10.1825,-1.9106,0.6273,-0.2446,0.567,-0.0165
-10.3166,-1.9585,0.8164,-0.2353,0.5769,-0.0386
-9.8497,-2.0231,0.9002,-0.2625,0.6089,-0.0648
-9.4116,-1.9201,0.2873,-0.2809,0.6941,-0.0861
-9.0668,-1.8268,-0.6081,-0.2872,0.7485,-0.0608
-8.8442,-1.6807,-0.8691,-0.2689,0.7434,-0.0128
-8.5569,-1.6233,-1.0151,-0.2403,0.7346,0.0149
-8.4443,-1.6209,-1.0774,-0.1895,0.7392,0.0256
-8.4467,-1.7214,-1.0367,-0.1415,0.7456,0.0344
-8.4851,-1.8268,-1.1444,-0.1053,0.7482,0.0456
-8.4946,-1.9489,-1.1277,-0.0943,0.7226,0.0392
-8.3629,-2.0159,-1.0223,-0.0906,0.6928,0.0314
-8.4228,-2.0566,-0.8906,-0.0802,0.6736,0.0256
-8.7652,-1.9585,-0.5794,-0.0911,0.6073,0.0368
-9.1363,-2.047,-0.1676,-0.1348,0.5313,0.0266
-9.56,-1.9513,0.2131,-0.1815,0.4852,0.0077
-9.9264,-1.901,0.589,-0.2401,0.4282,-0.0211
-9.8474,-1.8818,0.7398,-0.2888,0.4357,-0.0568
-9.6989,-1.8579,0.7015,-0.3059,0.5281,-0.0943
-9.5241,-1.8747,0.6249,-0.312,0.6259,-0.1226
-9.1243,-1.8387,0.2753,-0.3086,0.6792,-0.1274
-8.7939,-1.8124,-0.1221,-0.3128,0.7029,-0.1188
-8.5665,-1.7645,-0.5435,-0.3299,0.6651,-0.1063
-8.3677,-1.7454,-0.996,-0.3349,0.6289,-0.0989
-8.2648,-1.6927,-1.5538,-0.3102,0.5969,-0.0983
-8.1331,-1.719,-2.0806,-0.2635,0.567,-0.0925
-7.9464,-1.7334,-2.3918,-0.1956,0.5191,-0.0834
-7.7381,-1.7765,-2.4086,-0.1255,0.4466,-0.0821
-7.7213,-1.8148,-2.2984,-0.0794,0.3589,-0.0818
-7.8721,-1.8842,-2.2673,-0.0482,0.2595,-0.0765
-8.0972,-1.9082,-2.2649,-0.0298,0.1652,-0.0666
-8.3893,-2.0063,-2.2625,-0.0322,0.0887,-0.0608
-8.5665,-1.9489,-2.0303,-0.0442,0.0285,-0.0538
-8.8131,-1.901,-1.7957,-0.0485,-0.0051,-0.0509
-8.9591,-1.9369,-1.652,-0.0464,-0.049,-0.0501
-9.019,-1.8651,-1.7238,-0.048,-0.0722,-0.04
-9.1075,-1.8914,-1.6927,-0.0584,-0.0709,-0.0256
-9.1459,-1.9058,-1.6448,-0.077,-0.0629,-0.0179
-9.1937,-1.9058,-1.8052,-0.0901,-0.0344,-0.0099
-9.0788,-1.9273,-1.9369,-0.0938,-0.0005,-0.0008
-9.1411,-1.8986,-1.9848,-0.0914,0.0408,0.0088
-9.086,-1.8771,-1.9872,-0.0805,0.0887,0.0203
-8.9615,-1.81,-1.9321,-0.0645,0.1476,0.0232
-8.9663,-1.7957,-1.8316,-0.0528,0.1964,0.0144
-8.7077,-1.8172,-1.8268,-0.0402,0.2284,0.0131
-8.6263,-1.8004,-1.8986,-0.0232,0.2449,0.0189
-8.4779,-1.7334,-2.0542,-0.0064,0.2244,0.0232
-8.3725,-1.731,-2.1165,0.0139,0.1932,0.0242
-8.2768,-1.7262,-2.1524,0.0256,0.1407,0.0195
-8.3318,-1.7717,-2.138,0.032,0.0789,0.0088
-8.3941,-1.822,-2.0973,0.0405,0.0189,0.0123
-8.5449,-1.8387,-2.0111,0.0426,-0.0242,0.0144
-8.7317,-1.9106,-1.8914,0.0362,-0.0584,0.0155
-8.9447,-1.8938,-1.9106,0.0248,-0.0759,0.0181
-9.0884,-1.8675,-1.9106,0.0213,-0.0749,0.0277
-9.1554,-1.8196,-1.9513,0.02,-0.0637,0.0309
-9.1842,-1.7597,-1.9273,0.0173,-0.0458,0.0298
-9.1842,-1.798,-1.8483,0.0176,-0.0136,0.0272
-9.1746,-1.7861,-1.8651,0.024,0.0298,0.0221
-9.0692,-1.798,-1.8962,0.033,0.0727,0.0165
-8.9854,-1.8076,-1.9465,0.04,0.0935,0.0192
-8.8202,-1.7885,-2.0231,0.0509,0.0946,0.0245
-8.7484,-1.8196,-2.059,0.0533,0.0903,0.0237
-8.667,-1.8028,-2.0111,0.0538,0.0813,0.0216
-8.6718,-1.822,-1.8723,0.0581,0.0653,0.0226
-8.6479,-1.822,-1.7166,0.0576,0.0448,0.0234
-8.7125,-1.8866,-1.6472,0.0608,0.0274,0.0195
-8.679,-1.9465,-1.6113,0.0677,0.0053,0.0229
