ax,ay,az,gx,gy,gz
-4.0606,-1.6424,-8.2552,0.0765,5.9019,-0.0853
-3.8475,-1.8148,-8.5473,0.033,6.0556,-0.1135
-3.6081,-1.7885,-8.8705,0.0131,6.1417,-0.1154
-3.1651,-1.7142,-8.8849,-0.0035,6.203,-0.1359
-2.7677,-1.7957,-8.7053,-0.0101,6.2406,-0.149
-2.411,-1.8459,-8.7125,0.0104,6.2174,-0.1271
-2.0925,-1.7789,-8.8777,0.0061,6.1284,-0.0831
-1.8124,-1.6712,-8.9687,-0.0112,5.9959,-0.0783
-1.8124,-1.3719,-8.9016,-0.061,5.7662,-0.122
-1.3647,-1.7526,-8.9112,-0.1135,5.5672,-0.1876
-1.4246,-1.5969,-9.2273,-0.0679,5.3663,-0.1087
-1.1827,-1.2139,-9.5648,-0.0709,5.1278,-0.0613
-0.9673,-1.1708,-9.8306,-0.1266,4.9096,-0.0669
-0.7446,-1.1564,-10.0485,-0.1495,4.7039,-0.13
-0.7111,-1.403,-10.1897,-0.1311,4.4728,-0.162
-0.431,-1.3982,-10.3956,-0.0525,4.2823,-0.1306
-0.5578,-1.2402,-10.8362,-0.0013,4.2021,-0.1058
-0.3807,-1.6927,-11.1833,-0.0778,4.0561,-0.0536
-0.4669,-2.0375,-10.9439,-0.0887,3.9756,-0.0482
-0.1532,-1.585,-11.3437,-0.0488,3.8453,-0.1069
0.4693,-1.3815,-11.5688,-0.0669,3.718,-0.202
0.9026,-2.0734,-10.8936,-0.0853,3.5538,-0.2118
1.3072,-2.3822,-10.2759,0.0043,3.3145,-0.1641
1.7406,-2.5833,-9.7683,0.0394,2.9505,-0.1689
1.9321,-2.6791,-9.7252,0.0013,2.5117,-0.2132
1.1851,-2.4756,-9.5744,-0.0714,2.0851,-0.2332
0.7997,-2.071,-9.4403,-0.1196,1.7195,-0.2092
0.2203,-1.9824,-9.3158,-0.1223,1.6555,-0.1311
-0.5507,-1.5897,-9.6965,-0.0418,1.7581,-0.1335
-1.2067,-1.5754,-9.2249,-0.0075,1.9537,-0.1492
-0.8571,-1.7597,-8.6191,-0.0221,2.1541,-0.1556
-0.2466,-2.0518,-8.4324,-0.1013,2.4371,-0.1468
0.3256,-2.2721,-8.4539,-0.1655,2.6835,-0.1577
0.7302,-2.1907,-8.3486,-0.2094,2.8613,-0.2121
1.2905,-2.0135,-8.7245,-0.2798,2.9252,-0.2078
1.9944,-1.9106,-8.7963,-0.3267,2.9988,-0.1561
2.5786,-1.8435,-8.9495,-0.3269,3.0489,-0.1444
2.9904,-1.7526,-8.6742,-0.3131,3.0313,-0.1258
3.6847,-1.7909,-8.6766,-0.2979,2.9737,-0.1263
4.063,-1.7549,-8.8825,-0.3307,2.8256,-0.0946
4.8004,-1.7621,-8.8155,-0.3717,2.5618,-0.1159
5.6838,-1.6735,-8.734,-0.3752,2.31,-0.145
5.9328,-1.5754,-8.6143,-0.3784,2.0264,-0.1522
5.5929,-1.336,-8.6814,-0.3619,1.6465,-0.1013
5.375,-1.1803,-8.9495,-0.3592,1.2476,-0.0477
4.9895,-1.1372,-9.1123,-0.3523,0.9478,-0.0208
4.6017,-0.9194,-9.2368,-0.3421,0.6997,-0.0107
4.4652,-0.7638,-9.5026,-0.3432,0.514,0.0096
4.1228,-0.7566,-9.7588,-0.3214,0.4048,0.0218
3.9816,-0.7614,-10.0796,-0.2801,0.3384,0.0658
3.7421,-0.7925,-9.991,-0.2513,0.3328,0.0941
3.6703,-0.8068,-10.2328,-0.2161,0.3453,0.1007
3.6057,-0.8571,-10.2831,-0.1935,0.3531,0.0887
3.7206,-0.8571,-10.2568,-0.1823,0.3376,0.0898
3.8858,-0.8308,-10.2783,-0.1591,0.3094,0.0512
4.1683,-0.8045,-10.1227,-0.1218,0.2856,0.0336
4.5179,-0.8188,-10.0772,-0.0743,0.2249,0.0205
4.4341,-0.8715,-9.9072,-0.0477,0.1522,0.0224
4.6064,-0.9984,-9.7827,-0.0296,0.0336,0.0147
4.5729,-1.0989,-9.7947,-0.0242,-0.1026,-0.0048
4.719,-1.1205,-9.6869,-0.053,-0.2886,-0.0021
4.6807,-1.1444,-9.7492,-0.093,-0.4932,-0.0029
4.5921,-1.0798,-9.8019,-0.1148,-0.6744,-0.0045
4.4269,-1.0343,-9.7995,-0.1234,-0.8159,-0.012
4.0654,-1.0965,-9.9096,-0.1226,-0.9086,-0.0075
3.6081,-1.063,-9.924,-0.1138,-0.9627,0.0008
