ax,ay,az,gx,gy,gz
-0.2251,-1.1851,-10.0604,-0.231,-0.0863,0.0
-0.2035,-1.1899,-9.8785,-0.2268,-0.0466,0.0136
-0.1915,-1.1588,-9.8641,-0.2321,-0.0413,0.0056
-0.182,-1.0151,-9.9144,-0.2252,-0.0624,-0.0093
-0.3759,-0.7949,-10.1275,-0.2036,-0.0962,-0.012
-0.4788,-0.7302,-10.3358,-0.1833,-0.1314,-0.0013
-0.5148,-0.7949,-10.2759,-0.1692,-0.1452,0.0197
-0.5746,-0.8523,-10.2711,-0.1609,-0.1591,0.025
-0.5578,-0.917,-10.4339,-0.1623,-0.1908,0.0045
-0.3304,-1.0175,-10.4315,-0.1652,-0.2036,-0.0027
-0.2825,-1.1085,-10.2256,-0.17,-0.2161,0.0149
-0.2514,-1.142,-9.9886,-0.1671,-0.2403,0.0163
-0.4405,-0.9697,-10.1778,-0.1506,-0.2467,-0.0011
-0.6728,-0.826,-10.41,-0.1258,-0.2563,0.0032
-0.5315,-0.8428,-10.477,-0.1055,-0.2406,0.0059
-0.2155,-1.0606,-10.3813,-0.0941,-0.1966,0.0184
-0.0575,-1.2186,-10.2855,-0.0949,-0.1495,0.0205
-0.2227,-1.1636,-10.5393,-0.1351,-0.1351,-0.0211
-0.2179,-1.1803,-10.5201,-0.2113,-0.1668,-0.0229
0.0287,-1.2354,-10.1107,-0.3003,-0.2036,-0.0093
0.0575,-1.1037,-9.5265,-0.3451,-0.1761,-0.0352
-0.3711,-0.6823,-9.3805,-0.3408,-0.1692,-0.0616
-0.6177,-0.407,-9.5864,-0.2936,-0.2009,-0.0797
-0.735,-0.3448,-9.6271,-0.2068,-0.198,-0.0655
-0.6943,-0.3567,-9.8665,-0.1162,-0.1855,-0.0525
-0.9816,-0.5459,-9.821,-0.0373,-0.1543,-0.0621
-1.1923,-0.577,-10.963,0.0077,-0.1748,-0.1095
-0.8188,-0.8715,-12.7443,-0.0005,-0.1196,-0.0733
-0.1604,-1.5012,-11.631,-0.1066,-0.0679,0.0357
0.5076,-1.798,-9.7013,-0.2809,-0.1023,-0.0112
0.1963,-1.3096,-9.426,-0.4018,-0.1444,-0.113
-0.5746,-0.5267,-10.0389,-0.4394,-0.2214,-0.145
-1.1732,-0.0287,-10.489,-0.3818,-0.251,-0.1098
-1.4844,-0.0096,-10.7715,-0.2883,-0.2185,-0.0698
-1.2234,-0.3376,-10.963,-0.214,-0.1308,-0.0613
-0.7494,-0.7925,-10.7548,-0.1982,-0.0163,-0.0666
-0.5171,-1.0678,-10.3884,-0.2555,0.0325,-0.0754
-0.4166,-1.0678,-10.1131,-0.3176,0.0338,-0.0855
-0.2777,-1.0223,-9.7612,-0.3373,0.028,-0.0821
-0.2514,-0.8045,-9.663,-0.3139,0.0663,-0.0773
-0.589,-0.4525,-10.1251,-0.2755,0.1037,-0.0797
-0.6943,-0.3496,-10.6279,-0.2539,0.0941,-0.0786
-0.5171,-0.4669,-10.7045,-0.2707,0.0354,-0.0552
0.2777,-0.8475,-10.331,-0.2851,-0.0426,-0.0213
0.0335,-0.6967,-9.8402,-0.3301,-0.1119,-0.0282
-0.182,-0.2274,-10.1083,-0.3022,-0.2212,-0.0671
